device_name,update_time,link,Temp,RH,CO2,PM2.5,PM10,eTVOC,Noise
QP319,"13:00, Apr 7",https://qingpingiot.com/deviceDetail/B5A6256C98381BAC7AEE809FF093E211?group_id=undefined,24.3,66.9%,836,4,4,52,68
QP317,"12:45, Apr 7",https://qingpingiot.com/deviceDetail/D0C79BACB990125E2227EE301DA8025C?group_id=undefined,24.3,62.3%,1542,4,4,52,38
QP318,"12:58, Apr 7",https://qingpingiot.com/deviceDetail/A087CC377766B833CECE5A744A00162A?group_id=undefined,24.3,68.9%,906,4,4,49,36
QP320,"12:56, Apr 7",https://qingpingiot.com/deviceDetail/9BED6EE6DE1091B56BCFFB5C66D18037?group_id=undefined,24.6,71.3%,990,4,4,52,41
QP103,,https://qingpingiot.com/deviceDetail/806AD05E16C8AF29DDCBF4A8CC0FA153?group_id=undefined,24.7,70%,955,4,4,51,43
QP104,"13:45, Apr 7",https://qingpingiot.com/deviceDetail/B0E17B02B072585E043B8FA9037CB298?group_id=undefined,24,66.9%,911,4,4,52,37
QP310,1 hour,https://qingpingiot.com/deviceDetail/6552C740E58E5E07A36C5745E6774311?group_id=undefined,31.7,55.2%,526,58,60,239,63
QP309,1 hour,https://qingpingiot.com/deviceDetail/9B74E89E8B1243DD8FA92D22F8661BAF?group_id=undefined,30.8,61.7%,630,52,55,239,64
QP308,1 hour,https://qingpingiot.com/deviceDetail/60896D497672CF0E6EE4BD626FFC4AB6?group_id=undefined,31.6,59.6%,611,43,44,239,65
QP307,1 hour,https://qingpingiot.com/deviceDetail/8C811D0DAC31075405FD197997380C92?group_id=undefined,30.8,64.7%,611,52,53,210,64
QP306,1 hour,https://qingpingiot.com/deviceDetail/B7AEE1FE0527E9232283A3708B7EA3E0?group_id=undefined,27.9,70.4%,517,47,49,239,59
QP305,1 hour,https://qingpingiot.com/deviceDetail/A9FE0B9CC55AC7FFF59410D06FA0E7E4?group_id=undefined,28.2,69.8%,520,39,40,239,53
QP304,1 hour,https://qingpingiot.com/deviceDetail/049F8BCEAAD2DD7555FA7FD4489DB750?group_id=undefined,29.9,62.1%,604,50,51,239,64
QP303,1 hour,https://qingpingiot.com/deviceDetail/1E7A6B58529809AFE1F04E5467B6C53C?group_id=undefined,30.7,59.7%,605,50,50,239,64
QP302,"13:47, Apr 7",https://qingpingiot.com/deviceDetail/1CE177B8B6A3ECA60ADC8A9BE22C55A7?group_id=undefined,24.4,67.5%,1105,6,6,50,45
QP301,"17:11, Apr 7",https://qingpingiot.com/deviceDetail/44AEA955A529B3C40E8DF4814E8C2445?group_id=undefined,24.3,57.6%,1353,4,4,28,41
